route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id,cemv_support
01004,1,01004,01004,,3,,,,0,1,1,0,0
01025,1,01025,01025,,3,,,,0,1,1,0,0
01445,1,01445,01445,,3,,,,0,1,1,0,0
01446,1,01446,01446,,3,,,,0,1,1,0,0
02201,1,02201,02201,,3,,,,0,1,1,0,0
02206,1,02206,02206,,3,,,,0,1,1,0,0
02209,1,02209,02209,,3,,,,0,1,1,0,0
02214,1,02214,02214,,3,,,,0,1,1,0,0
02215,1,02215,02215,,3,,,,0,1,1,0,0
02217,1,02217,02217,,3,,,,0,1,1,0,0
02218,1,02218,02218,,3,,,,0,1,1,0,0
02220,1,02220,02220,,3,,,,0,1,1,0,0
02221,1,02221,02221,,3,,,,0,1,1,0,0
02222,1,02222,02222,,3,,,,0,1,1,0,0
02223,1,02223,02223,,3,,,,0,1,1,0,0
02225,1,02225,02225,,3,,,,0,1,1,0,0
02407,1,02407,02407,,3,,,,0,1,1,0,0
02408,1,02408,02408,,3,,,,0,1,1,0,0
02433,1,02433,02433,,3,,,,0,1,1,0,0
02453,1,02453,02453,,3,,,,0,1,1,0,0
02457,1,02457,02457,,3,,,,0,1,1,0,0
02460,1,02460,02460,,3,,,,0,1,1,0,0
02461,1,02461,02461,,3,,,,0,1,1,0,0
02480,1,02480,02480,,3,,,,0,1,1,0,0
02481,1,02481,02481,,3,,,,0,1,1,0,0
02490,1,02490,02490,,3,,,,0,1,1,0,0
02491,1,02491,02491,,3,,,,0,1,1,0,0
02500,1,02500,02500,,3,,,,0,1,1,0,0
02501,1,02501,02501,,3,,,,0,1,1,0,0
02504,1,02504,02504,,3,,,,0,1,1,0,0
02505,1,02505,02505,,3,,,,0,1,1,0,0
02507,1,02507,02507,,3,,,,0,1,1,0,0
02508,1,02508,02508,,3,,,,0,1,1,0,0
02510,1,02510,02510,,3,,,,0,1,1,0,0
02511,1,02511,02511,,3,,,,0,1,1,0,0
02512,1,02512,02512,,3,,,,0,1,1,0,0
02513,1,02513,02513,,3,,,,0,1,1,0,0
02515,1,02515,02515,,3,,,,0,1,1,0,0
02516,1,02516,02516,,3,,,,0,1,1,0,0
02517,1,02517,02517,,3,,,,0,1,1,0,0
02518,1,02518,02518,,3,,,,0,1,1,0,0
02519,1,02519,02519,,3,,,,0,1,1,0,0
02521,1,02521,02521,,3,,,,0,1,1,0,0
02524,1,02524,02524,,3,,,,0,1,1,0,0
02525,1,02525,02525,,3,,,,0,1,1,0,0
02526,1,02526,02526,,3,,,,0,1,1,0,0
02527,1,02527,02527,,3,,,,0,1,1,0,0
02529,1,02529,02529,,3,,,,0,1,1,0,0
02530,1,02530,02530,,3,,,,0,1,1,0,0
02531,1,02531,02531,,3,,,,0,1,1,0,0
02532,1,02532,02532,,3,,,,0,1,1,0,0
02533,1,02533,02533,,3,,,,0,1,1,0,0
02534,1,02534,02534,,3,,,,0,1,1,0,0
02535,1,02535,02535,,3,,,,0,1,1,0,0
02536,1,02536,02536,,3,,,,0,1,1,0,0
02537,1,02537,02537,,3,,,,0,1,1,0,0
02538,1,02538,02538,,3,,,,0,1,1,0,0
02539,1,02539,02539,,3,,,,0,1,1,0,0
02540,1,02540,02540,,3,,,,0,1,1,0,0
02541,1,02541,02541,,3,,,,0,1,1,0,0
02542,1,02542,02542,,3,,,,0,1,1,0,0
02543,1,02543,02543,,3,,,,0,1,1,0,0
02544,1,02544,02544,,3,,,,0,1,1,0,0
02545,1,02545,02545,,3,,,,0,1,1,0,0
02548,1,02548,02548,,3,,,,0,1,1,0,0
02549,1,02549,02549,,3,,,,0,1,1,0,0
02552,1,02552,02552,,3,,,,0,1,1,0,0
02553,1,02553,02553,,3,,,,0,1,1,0,0
02558,1,02558,02558,,3,,,,0,1,1,0,0
02559,1,02559,02559,,3,,,,0,1,1,0,0
02560,1,02560,02560,,3,,,,0,1,1,0,0
02561,1,02561,02561,,3,,,,0,1,1,0,0
02562,1,02562,02562,,3,,,,0,1,1,0,0
02563,1,02563,02563,,3,,,,0,1,1,0,0
02565,1,02565,02565,,3,,,,0,1,1,0,0
02568,1,02568,02568,,3,,,,0,1,1,0,0
02569,1,02569,02569,,3,,,,0,1,1,0,0
02572,1,02572,02572,,3,,,,0,1,1,0,0
02573,1,02573,02573,,3,,,,0,1,1,0,0
02574,1,02574,02574,,3,,,,0,1,1,0,0
02575,1,02575,02575,,3,,,,0,1,1,0,0
