shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
01004,14.441898,79.977594,1,0
01004,14.402815,79.950469,2,0
01004,13.629698,79.426333,3,0
01025,13.629698,79.426333,1,0
01025,14.402815,79.950469,2,0
01025,14.441898,79.977594,3,0
01445,17.3921,78.441672,1,0
01445,17.406151,78.464938,2,0
01445,17.376944,78.483837,3,0
01445,17.375438,78.498549,4,0
01445,17.368377,78.524793,5,0
01445,17.340946,78.562195,6,0
01445,17.337974,78.5694,7,0
01445,17.326768,78.605765,8,0
01445,17.151893,79.619822,9,0
01445,16.996694,79.965906,10,0
01445,16.913678,80.109995,11,0
01445,16.77451,80.28947,12,0
01445,16.68646,80.3884,13,0
01445,16.589129,80.520902,14,0
01445,16.566737,80.547243,15,0
01445,16.544497,80.579207,16,0
01445,16.536517,80.584905,17,0
01445,16.526299,80.593477,18,0
01445,16.508894,80.616597,19,0
01445,16.502176,80.633277,20,0
01445,16.497928,80.653674,21,0
01445,16.495105,80.661321,22,0
01445,16.490691,80.670913,23,0
01446,16.490691,80.670913,1,0
01446,16.4984017,80.652697,2,0
01446,16.508894,80.616597,3,0
01446,16.526299,80.593477,4,0
01446,16.544497,80.579207,5,0
01446,16.566737,80.547243,6,0
01446,16.589129,80.520902,7,0
01446,16.77451,80.28947,8,0
01446,16.913678,80.109995,9,0
01446,16.996694,79.965906,10,0
01446,17.151893,79.619822,11,0
01446,17.326768,78.605765,12,0
01446,17.337974,78.5694,13,0
01446,17.346688,78.550401,14,0
01446,17.368377,78.524793,15,0
01446,17.376998,78.483839,16,0
01446,17.403405,78.465313,17,0
01446,17.3921,78.441672,18,0
02201,17.736152,83.320063,1,0
02201,17.723934,83.306356,2,0
02201,17.73699,83.30667,3,0
02201,17.744451,83.236761,4,0
02201,17.685903,83.203678,5,0
02201,17.685503,83.168532,6,0
02201,17.674566,83.000858,7,0
02201,17.431028,82.744844,8,0
02201,17.368279,82.5482,9,0
02201,17.280507,82.403592,10,0
02201,17.242852,82.330572,11,0
02201,17.108411,82.244416,12,0
02201,16.965743,82.239514,13,0
02201,16.736768,82.212813,14,0
02201,16.675416,82.16025,15,0
02201,16.6413,82.102121,16,0
02201,16.61598,82.07182,17,0
02201,16.605627,82.056115,18,0
02201,16.579884,81.998029,19,0
02206,17.736152,83.320063,1,0
02206,17.723934,83.306356,2,0
02206,17.73699,83.30667,3,0
02206,17.744451,83.236761,4,0
02206,17.685903,83.203678,5,0
02206,17.685503,83.168532,6,0
02206,17.674566,83.000858,7,0
02206,17.431028,82.744844,8,0
02206,17.368279,82.5482,9,0
02206,17.280507,82.403592,10,0
02206,17.242852,82.330572,11,0
02206,17.108411,82.244416,12,0
02206,16.965743,82.239514,13,0
02206,16.736768,82.212813,14,0
02206,16.675416,82.16025,15,0
02206,16.6413,82.102121,16,0
02206,16.61598,82.07182,17,0
02206,16.605627,82.056115,18,0
02206,16.579884,81.998029,19,0
02209,16.508894,80.616597,1,0
02209,16.497926,80.653672,2,0
02209,16.524107,80.676721,3,0
02209,16.63487,80.96997,4,0
02209,16.737242,81.141149,5,0
02209,16.80756,81.531434,6,0
02209,16.757512,81.672233,7,0
02209,16.76172,81.842272,8,0
02209,16.71788,81.89548,9,0
02209,16.64653,81.96163,10,0
02209,16.595842,81.946599,11,0
